Huvudrubrik,Avsnitt,KVÅ-kod,Titel/Kodtext,Beskrivningstext
Utredning/Bedömning/Uppföljning,Utredning av lärande och tillämpning av kunskap,PJ002,Bedömning av grundläggande lärande,"Bedömning av grundläggande lärande, att kunna härma, repetera, lära sig läsa, lära sig skriva och räkna samt förvärva färdigheter. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d130 - d159"
Utredning/Bedömning/Uppföljning,Utredning av lärande och tillämpning av kunskap,PJ003,Bedömning av att tillämpa kunskap,"Bedömning av att kunna vara uppmärksam, att tänka, läsa och att kunna skriva och beräkna samt lösa problem och fatta beslut samt kunna prioritera bland ett flertal uppgifter som behöver genomföras. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d160 - d179"
Utredning/Bedömning/Uppföljning,Utredning av genomförande av allmänna uppgifter och krav,PK001,Bedömning av att företa en enstaka uppgift,"Bedömning av genomförande av handlingar som sammanhänger med de psykiska eller fysiska komponenterna i en enstaka uppgift såsom att påbörja en uppgift, organisera tid, rum och material. Planera, sätta mål, genomföra och avsluta samt upprätthålla en uppgift. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d210"
Utredning/Bedömning/Uppföljning,Utredning av genomförande av allmänna uppgifter och krav,PK002,Bedömning av att företa mångfaldiga uppgifter,"Bedömning av genomförande av enkla eller komplicerade och koordinerade handlingar som komponenter i mångfaldiga, integrerade och komplicerade uppgifter i följd eller samtidigt. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d220"
Utredning/Bedömning/Uppföljning,Utredning av genomförande av allmänna uppgifter och krav,PK003,Bedömning av att genomföra daglig rutin,"Bedömning av genomförande av enkla eller samordnade handlingar för att planera och hantera tid och energi vid genomförandet av de aktiviteter som innefattas i dagliga rutiner under hela dygnet. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d230"
Utredning/Bedömning/Uppföljning,Utredning av genomförande av allmänna uppgifter och krav,PK004,Bedömning av att hantera stress och andra psykologiska krav,"Bedömning av genomförande av enkla eller sammansatta och samordnade handlingar för att klara av de psykologiska krav som ställs för att genomföra uppgiften. Innefattar att hantera ansvarstagande, stress och kris. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d240"
Utredning/Bedömning/Uppföljning,Utredning av förmåga att kommunicera,PL001,Bedömning av att vara mottagare,"Bedömning av att vara mottagare av verbala och icke verbala meddelanden, inklusive teckenspråk samt ta emot skrivna meddelanden. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d310 - d329"
Utredning/Bedömning/Uppföljning,Utredning av förmåga att kommunicera,PL002,Bedömning av att vara sändare ,"Bedömning av att tala, uttrycka sig icke verbalt inklusive att meddela sig på teckenspråk samt att skriva meddelanden. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d330 - d349"
Utredning/Bedömning/Uppföljning,Utredning av förmåga att kommunicera,PL003,Bedömning av att kunna konversera och diskutera,"Bedömning av att kunna konversera och diskutera med en eller flera personer. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d350, d355"
Utredning/Bedömning/Uppföljning,Utredning av förmåga att kommunicera,PL004,Bedömning av att använda kommunikationsutrustningar och kommunikationstekniker,"Bedömning av användandet av olika utrustningar och tekniker för kommunikation. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d360"
Utredning/Bedömning/Uppföljning,Utredning av förmåga att förflytta sig,PM001,Bedömning av att ändra kroppsställning ,"Bedömning av att inta eller ändra kroppsställning (inkluderar kroppshållning) från olika utgångsställningar såsom liggande, sittande eller stående. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d410. Utesluter PM002, PM003"
Utredning/Bedömning/Uppföljning,Utredning av förmåga att förflytta sig,PM002,Bedömning av att bibehålla en kroppsställning,"Bedömning av att bibehålla en kroppsställning (inkluderar kroppshållning) såsom förbli liggande, sittande eller stående. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d415. Utesluter PM001, PM003"
Utredning/Bedömning/Uppföljning,Utredning av förmåga att förflytta sig,PM003,Bedömning av att förflytta sig själv utan att ändra kroppsställning ,"Bedömning av att göra en överflyttning från en yta till en annan såsom att glida längs en bänk eller att flytta sig från säng till stol utan att ändra kroppsställning. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d420. Utesluter PM001, PM002"
Utredning/Bedömning/Uppföljning,Utredning av förmåga att förflytta sig,PM004,"Bedömning av att lyfta, bära och förflytta föremål","Bedömning av att lyfta upp ett föremål eller ta något från en plats till en annan såsom att lyfta en kopp eller bära ett barn från ett rum till ett annat. Att sparka boll eller trampa på cykelpedaler ingår. Innefattar även insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d430 - d435"
Utredning/Bedömning/Uppföljning,Utredning av förmåga att förflytta sig,PM005,Bedömning av finmotorik,"Bedömning av koordinerade handlingar som krävs för att hantera föremål, plocka upp, behandla och släppa dem t.ex. plocka upp ett mynt från ett bord. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d440"
Utredning/Bedömning/Uppföljning,Utredning av förmåga att förflytta sig,PM006,Bedömning av att använda hand och arm ,"Bedömning av koordinerade handlingar som krävs för att flytta föremål eller hantera dem genom att använda händer och armar t.ex. att kasta eller fånga ett föremål. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d445"
Utredning/Bedömning/Uppföljning,Utredning av förmåga att förflytta sig,PM007,Bedömning av att gå,"Bedömning av förflyttning till fots såsom att promenera, gå framlänges, baklänges eller i sidled, kortare eller längre sträckor inomhus eller utomhus, att gå på olika underlag samt runt hinder av olika slag eller i trappa. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d450, d451"
Utredning/Bedömning/Uppföljning,Utredning av förmåga att förflytta sig,PM009,Bedömning av att förflytta sig med hjälpmedel,"Bedömning av att förflytta sig med rullstol, använda gånghjälpmedel. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d465"
Utredning/Bedömning/Uppföljning,Utredning av förmåga att förflytta sig,PM010,Bedömning av att använda transportmedel,"Bedömning av att använda offentliga transportmedel som buss, spårvagn, tåg. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d470"
Utredning/Bedömning/Uppföljning,Utredning av förmåga att förflytta sig,PM011,Förarbedömning,"Bedömning av att vara förare till olika transportmedel, t.ex. motoriserade fordon, djurdrivna fordon. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d475"
Utredning/Bedömning/Uppföljning,Utredning av förmåga att förflytta sig,PM012,Bedömning av fallrisk,"Sammanvägd bedömning av fallrisk baserat på insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. Separata KVÅ-koder kan användas för att ange de specifika åtgärderna som ingår i riskbedömningen. ICF d410, d415, d450"
Utredning/Bedömning/Uppföljning,Utredning av förmåga att förflytta sig,PM017,Bedömning av att röra sig på olika sätt,"Bedömning av att krypa, springa, hoppa och att röra sig på olika sätt. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d455"
Utredning/Bedömning/Uppföljning,Utredning av förmåga att förflytta sig,PM018,Bedömning av att röra sig omkring på olika platser,"Bedömning av att röra sig på olika platser inom och utom hemmet. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d460"
Utredning/Bedömning/Uppföljning,Utredning av personlig vård,PN001,Bedömning av att tvätta sig,"Bedömning av att tvätta och torka delar av eller hela kroppen med lämpliga metoder och material. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d510"
Utredning/Bedömning/Uppföljning,Utredning av personlig vård,PN002,Bedömning av att vårda sin kropp,"Bedömning av att sköta hud, tänder, hår, naglar och könsorgan. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d520"
Utredning/Bedömning/Uppföljning,Utredning av personlig vård,PN003,Bedömning av att sköta sina toalettbehov,"Bedömning av att kontrollera och sköta urinering, avföring och sköta menstruation, komma till lämplig plats och ställning samt hantering av kläder. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d530"
Utredning/Bedömning/Uppföljning,Utredning av personlig vård,PN004,Bedömning av att klä på och av sig,"Bedömning av på- och avklädning av kläder och skor samt val av lämplig klädsel. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d540"
Utredning/Bedömning/Uppföljning,Utredning av personlig vård,PN005,Bedömning av att äta och dricka,"Bedömning av genomförandet av samordnade handlingar så som att skära eller bryta maten i bitar, öppna flaskor och burkar, blanda dryck, använda bestick samt att föra mat och dryck till munnen och att äta och dricka på ett kulturellt accepterat sätt. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d550, d560"
Utredning/Bedömning/Uppföljning,Utredning av personlig vård,PN008,Bedömning av att sköta sin egen hälsa,"Bedömning av att tillförsäkra sig fysisk bekvämlighet, hälsa och fysiskt och psykiskt välbefinnande, såsom att upprätthålla lämplig kost och nivå av fysisk aktivitet samt undvika hälsorisker. Innefattar egenvård, att söka professionell hjälp och att följa medicinska ordinationer och andra hälsoråd. Innefattar även insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d570"
Utredning/Bedömning/Uppföljning,Utredning av personlig vård,PN009,Bedömning av risk för ohälsa i munnen,"Sammanvägd bedömning av risk för ohälsa i munnen baserat på insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. Separata KVÅ-koder kan användas för att ange de specifika åtgärderna som ingår i riskbedömningen. ICF d5708A"
Utredning/Bedömning/Uppföljning,Utredning av personlig vård,PN010,Bedömning av att sköta sin fysiska aktivitet ,"Bedömning av förmågan till fysisk aktivitet och ta hand om sig själv genom att upprätthålla eller förbättra fysisk kondition. Innefattar även insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d5704"
Utredning/Bedömning/Uppföljning,Utredning av personlig vård,AW005,Uppföljning av tidigare utfärdat recept på fysisk aktivitet (FaR),"Uppföljningen kan avse exempelvis hur ofta aktiviteten genomförts, hur den genomförts och dess effekter. Utesluter DV200 Utfärdande av recept på fysisk aktivitet (FaR) "
Utredning/Bedömning/Uppföljning,Utredning av hemliv,PP001,Bedömning av att skaffa förnödenheter,"Bedömning av att köpa, hyra, möblera och ordna ett hus, lägenhet eller annan bostad. Att välja, anskaffa och transportera alla varor och tjänster som krävs för det dagliga livet såsom mat, dryck, kläder, rengöringsmaterial, bränsle, hushållsartiklar, husgeråd, kokkärl, hushållsredskap och verktyg samt att anskaffa nyttoföremål och andra hushållstjänster. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d610 - 629"
Utredning/Bedömning/Uppföljning,Utredning av hemliv,PP002,Bedömning av att inköpa dagligvaror,"Bedömning av planering av större eller mindre inköp, att ta sig till eller från affären, att välja och ta varor, betala och frakta hem varorna. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d6208"
Utredning/Bedömning/Uppföljning,Utredning av hemliv,PP003,Bedömning av att utföra hushållsgöromål,"Bedömning av att planera, organisera, laga och servera enkla eller sammansatta måltider, att hålla rent i hemmet, att rengöra kök och köksredskap, städa bostaden, förvara dagliga förnödenheter och på lämpligt sätt ta hand om avfall, samla ihop, tvätta, torka, vika och stryka kläder samt putsa skor, att till olika sysslor använda lämpliga hushållsapparater. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d630 - 649, d6403"
Utredning/Bedömning/Uppföljning,Utredning av hemliv,PP004,Bedömning av att laga mat,"Bedömning av att planera, organisera, laga och servera enkla och sammansatta måltider till sig själv och andra, att göra upp en matsedel, välja ut lämpliga varor och drycker och samla ihop och bereda ingredienser till varm eller kall mat. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d630, d6403. Utesluter: Att diska och städa upp efter matlagning som ingår i PP006 Bedömning av att städa bostaden"
Utredning/Bedömning/Uppföljning,Utredning av hemliv,PP005,Bedömning av att tvätta,"Bedömning av att tvätta kläder för hand eller i tvättmaskin och på lämpligt sätt torka dessa och efterbehandla tvätten, att samla ihop, sortera, tvätta, på lämpligt sätt torka och efterbereda tvätten, att kunna använda hushållsapparater samt att transportera sig själv och tvätten till och från avsett utrymme. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d6403, d6408A"
Utredning/Bedömning/Uppföljning,Utredning av hemliv,PP006,Bedömning av att städa bostaden,"Bedömning av att städa hemmet såsom att städa upp, dammsuga, damma, sopa, skura, torka av golv, tvätta fönster och väggar, rengöra badrum och toaletter och att rengöra hemmets inventarier samt att diska och städa upp efter matlagning. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d6401, d6402, d6403"
Utredning/Bedömning/Uppföljning,Utredning av hemliv,PP007,Bedömning av att ta hand om hemmets föremål,"Bedömning av att underhålla och laga hushållsföremål och andra personliga föremål innefattande bostaden och dess inventarier. Innefattar att tillverka och laga kläder, underhålla bostaden genom att måla tapetsera, underhålla och laga möbler, hushållsapparater, fordon och hjälpmedel samt ta hand om husdjur, sällskapsdjur och växter. Inkluderar även trädgårdsarbete och hobbyodling. Innefattar även insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d650"
Utredning/Bedömning/Uppföljning,Utredning av hemliv,PP008,Bedömning av att bistå andra,"Bedömning av att hjälpa och vara engagerad i medlemmar av hushållet och andra i deras lärande, kommunikation, personliga vård, förflyttning inom eller utanför hemmet. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d660"
Utredning/Bedömning/Uppföljning,Utredning av mellanmänskliga interaktioner och relationer,PQ001,Bedömning av mellanmänskliga interaktioner,"Bedömning av att bygga upp och hantera alla typer av relationer samt avsluta dessa på ett socialt lämpligt sätt. Att kunna reglera sitt beteende i interaktioner med andra samt att vara medveten om och bibehålla socialt utrymme mellan sig själv och andra på ett socialt och kulturellt lämpligt sätt. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d720"
Utredning/Bedömning/Uppföljning,Utredning av mellanmänskliga interaktioner och relationer,PQ003,Bedömning av formella relationer,"Bedömning av att skapa och bibehålla specifika relationer i formella sammanhang såsom med arbetsgivare, yrkesutövande eller servicegivare, att ha kontakt med makthavare, underordnade och jämställda personer. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d740"
Utredning/Bedömning/Uppföljning,Utredning av mellanmänskliga interaktioner och relationer,PQ004,Bedömning av informella sociala relationer,"Bedömning av att ha relationer med andra såsom otvungna relationer med människor som bor på samma ort eller med medarbetare, elever, lekkamrater och människor med likartad bakgrund eller yrke, informella relationer med vänner, grannar, bekanta, personer man bor tillsammans med och kamrater. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d750"
Utredning/Bedömning/Uppföljning,Utredning av mellanmänskliga interaktioner och relationer,PQ005,Bedömning av att ha familjerelationer,"Bedömning av att skapa och bibehålla släktskapsrelationer såsom med medlemmar av kärnfamilj, utvidgad familj, foster-, adoptiv- och styvfamilj, mer avlägsna relationer såsom kusiner, sysslingar eller lagliga vårdnadshavare, föräldrabarn- och barnföräldrarelationer, syskon och vidare släktrelationer. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d760"
Utredning/Bedömning/Uppföljning,Utredning av mellanmänskliga interaktioner och relationer,PQ006,Bedömning av att ha parrelationer,"Bedömning av att skapa och bibehålla nära eller romantiska relationer mellan personer såsom mellan man och hustru, mellan älskande eller sexualpartner. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d770"
Utredning/Bedömning/Uppföljning,"Utredning av arbets-, studie- och ekonomiskt liv",PR002,Bedömning av arbetsförmåga och sysselsättning,"Bedömning av att vara engagerad i de uppgifter och handlingar som krävs för att förbereda sig för, skaffa och bibehålla en betald anställning eller obetald sysselsättning samt att avsluta denna. Innefattar också att kunna vara engagerad i uppgifter som krävs på arbetet som att vara närvarande under den tid som krävs, att kunna handleda och bli handledd. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d840 - d859"
Utredning/Bedömning/Uppföljning,"Utredning av arbets-, studie- och ekonomiskt liv",PR003,Bedömning av ekonomiskt liv,"Bedömning av att engagera sig i grundläggande och komplexa ekonomiska transaktioner såsom att använda pengar för att köpa varor och tjänster eller att spara pengar, innefattar utbyte av kapital eller egendom och skapande av ekonomisk vinst eller värde, att ha kontroll över ekonomiska resurser, försäkra sig om ekonomisk trygghet för nuvarande och framtida behov. Innefattar att bibehålla ett bankkonto, att bedriva affärsverksamhet samt egna ekonomiska resurser och allmänna ekonomiska rättigheter. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d860 - d879"
Utredning/Bedömning/Uppföljning,Utredning av socialt och medborgerligt liv,PS001,Bedömning av engagemang i samhällsgemenskap,"Bedömning av den sociala förmågan, att engagera sig i olika former av samhällsgemenskap såsom informella, formella och ceremoniella sammanslutningar. Innefattar engagemang i bostadsrättsföreningar, yrkesföreningar och i olika icke religiösa riter som t.ex. giftermål. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d910"
Utredning/Bedömning/Uppföljning,Utredning av socialt och medborgerligt liv,PS002,Bedömning av rekreation och fritid,"Bedömning av att kunna utföra och vara engagerad i lek, spel, sport, konst, kultur, hobbies, resor och umgänge, spontana och organiserade fritidsaktiviteter t.ex. fysisk träning, nöjen, bio, teater, konstutställning, eget utövande av konsthantverk eller handarbete, att spela musikinstrument, turism och fritidsresor. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d920. Utesluter: religion och andlighet, politiskt liv och medborgarskap, betald och obetald sysselsättning"
Utredning/Bedömning/Uppföljning,Utredning av socialt och medborgerligt liv,PS003,Bedömning av engagemang i religiösa och andliga frågor ,"Bedömning av engagemang i religiösa eller andliga aktiviteter, organisationer och utövanden för självförverkligande, för att finna mening, religiöst eller andligt värde och för att etablera kontakt med en gudomlig makt som t.ex. när man går till kyrka, tempel, moské eller synagoga, när man ber eller sjunger av religiösa skäl, andlig kontemplation. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d930"
Utredning/Bedömning/Uppföljning,Utredning av omgivningsfaktorer,PT001,Bedömning av behov av omgivningsanpassning i det dagliga livet,"Bedömning av behov av att anpassa, flytta om, ställa undan, produkter, inventarier och möbler för att möjliggöra eller underlätta att aktiviteter i det dagliga livet kan utföras på ett säkert sätt. Innefattar stödjande produkter och teknik (hjälpmedel) och allmänna produkter och teknik för personligt bruk såsom, textilier, kläder, möbler och redskap. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF e115"
Utredning/Bedömning/Uppföljning,Utredning av omgivningsfaktorer,PT002, Bedömning av hjälpmedelsbehov,"Bedömning av behov av hjälpmedel i det dagliga livet, för förflyttning och transport, kommunikation och för användning i utbildning, arbete, sysselsättning och vid aktiviteter relaterade till kultur, rekreation och sport. Innefattar allmänna och stödjande produkter och teknik. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF e115 - e145"
Utredning/Bedömning/Uppföljning,Utredning av omgivningsfaktorer,PT008,Bedömning av allmän miljö,"Bedömning av att anpassa, ny utforma produkter och teknik i allmän miljö. Innefattar design, konstruktioner byggnadsteknik och byggnadsprodukter för entréer och utgångar toaletter och förflyttningsvägar som skapats för allmänt bruk. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF e150"
Utredning/Bedömning/Uppföljning,Utredning av omgivningsfaktorer,PT009,Bedömning av boendemiljö,"Bedömning av individens boendemiljö relaterat till aktuellt hälsotillstånd och behovet av anpassning och utformning av produkter och teknik. Innefattar design, konstruktioner, byggnadsteknik och byggnadsprodukter för entréer och utgångar, toaletter och förflyttningsvägar som skapats för privat bruk. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF e155"
Utredning/Bedömning/Uppföljning,Utredning av omgivningsfaktorer,PT010,Bedömning av fysisk miljö,"Bedömning av individens fysiska miljö relaterat till aktuellt hälsotillstånd och behovet av anpassning och utformning av produkter och teknik gällande ljus, ljud, vibration och luftkvalitet. Kan innefattas i en arbetsplatsutredning. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF e240, e250, e255, e260"
Utredning/Bedömning/Uppföljning,Utredning av omgivningsfaktorer,PT011,Bedömning av personligt stöd från omgivningen,"Bedömning av människor och djur som ger praktiskt fysiskt eller emotionellt stöd, uppfostran, skydd och hjälp och som har relationer till individen i hemmet, på arbetsplatsen, i skolan eller vid lek eller i andra avseenden av de dagliga aktiviteterna. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF e310 - e360"
Utredning/Bedömning/Uppföljning,Utredning av omgivningsfaktorer,PT012,Bedömning av attityder i omgivningen,"Bedömning av förekomst av attityder och dess påverkan på personligt beteende och socialt liv på alla nivåer från mellanmänskliga relationer till ekonomiska och lagliga strukturer. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF e410 - e465"
Utredning/Bedömning/Uppföljning,Utredning av omgivningsfaktorer,PT017,Uppföljning av hjälpmedelsförskrivning,"Följa upp användning av förskrivet hjälpmedel (åtgärden ingår i förskrivningsprocessen). ICF e115 - e145. Utesluter: Anpassning av tidigare förskrivet hjälpmedel, se QT019. "
Utredning/Bedömning/Uppföljning,Utredning av omgivningsfaktorer,PT018,Uppföljning av läkemedelsautomat,Uppföljning och utvärdering av användningen av läkemedelsautomat. Här ingår inte teknik som endast doserar och påminner om medicin (och inte kan signalera till vårdgivaren)
Utredning/Bedömning/Uppföljning,Utredande/uppföljande åtgärder kopplade till läkemedel,AU116,Övervakning av läkemedelsintag,Övervakning av patient i samband med läkemedelsintag (peroralt eller sublingualt) för att kontrollera att ordinerade läkemedel intages i enlighet med ordination. Givet läkemedel kan anges med ATC-kod
Utredning/Bedömning/Uppföljning,Utredande/uppföljande åtgärder kopplade till läkemedel,AV027,Monitorering av pågående läkemedelsbehandling,"Fortlöpande, frekvent återkommande, kontroll av läkemedlets effekt, t.ex. antikoagulantiakontroll inklusive ordination. Läkemedel kan anges genom tillägg av ATC-kod"
Utredning/Bedömning/Uppföljning,Utredande/uppföljande åtgärder kopplade till läkemedel,XV021,Inhämtande av information inför läkemedelsgenomgång,"Annan hälso- och sjukvårdspersonal än läkare inhämtar information vid enkel eller fördjupad läkemedelsgenomgång enligt Socialstyrelsens föreskrifter och allmänna råd HSLF-FS 2017:37 med ändringsförfattningar. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. Åtgärden avser främst användning inom kommunal hälso- och sjukvård. "
Utredning/Bedömning/Uppföljning,Utredande/uppföljande åtgärder kopplade till läkemedel,XV022,Möte för enkel läkemedelsgenomgång,"Annan hälso- och sjukvårdspersonal deltar tillsammans med läkare i mötet för enkel läkemedelsgenomgång enligt Socialstyrelsens föreskrifter och allmänna råd HSLF-FS 2017:37 med ändringsförfattningar. Åtgärden avser främst användning inom kommunal hälso- och sjukvård. Utesluter: Läkemedelsgenomgång, enkel, enligt Socialstyrelsens föreskrift och allmänna råd, se XV015"
Utredning/Bedömning/Uppföljning,Utredande/uppföljande åtgärder kopplade till läkemedel,XV023,Möte för fördjupad läkemedelsgenomgång,"Annan hälso- och sjukvårdspersonal deltar tillsammans med läkare i mötet för fördjupad läkemedelsgenomgång enligt Socialstyrelsens föreskrifter och allmänna råd HSLF-FS 2017:37 med ändringsförfattningar. Åtgärden avser främst användning inom kommunal hälso- och sjukvård. Utesluter: Läkemedelsgenomgång, fördjupad, enligt Socialstyrelsens föreskrift och allmänna råd, se XV016"
Utredning/Bedömning/Uppföljning,Utredande/uppföljande åtgärder kopplade till läkemedel,XV030,Uppföljning av läkemedelsbehandling i öppenvård av annan legitimerad personal än läkare,"Uppföljning av intag och följsamhet till läkemedelsbehandling och utvärdering av effekter och eventuella biverkningar av insatta läkemedel. Utesluter: Inhämtande av information inför läkemedelsgenomgång, se XV021; Läkemedelsgenomgång, enkel, enligt Socialstyrelsens föreskrift och allmänna råd, se XV015; Läkemedelsgenomgång, fördjupad, enligt Socialstyrelsens föreskrift och allmänna råd, se XV016"
Utredning/Bedömning/Uppföljning,Andra utredande/uppföljande åtgärder,AV117,Livskvalitetsskattning,"Undersökning med hjälp av vedertagen skattningsskala, strukturerad intervju eller motsvarande i syfte att beskriva individens livskvalitet. T.ex. KASAM, MANSA, SF-36, QLS-100 etc."
Behandling/Åtgärdande,Behandling relaterad till psykiska funktioner,QA001,Övervakning av medvetande,Övervakning av medvetandegrad med eller utan instrument oavsett metod. ICF b110
Behandling/Åtgärdande,Behandling relaterad till psykiska funktioner,QA002,Träning av orienteringsfunktioner,"Träning av orientering till person, tid och rum. ICF b114"
Behandling/Åtgärdande,Behandling relaterad till psykiska funktioner,QA003,Träning av energi och driftfunktioner,Träning av motivation och impulskontroll. ICF b130
Behandling/Åtgärdande,Behandling relaterad till psykiska funktioner,QA004,Underlättande av sömn,"Underlättande av regelbunden sömn genom information, lugnande närvaro, hjälp med avspänning/avslappning, anpassning av omgivningen. Icke farmakologisk åtgärd. ICF b134"
Behandling/Åtgärdande,Behandling relaterad till psykiska funktioner,QA006,Uppmärksamhetsträning,"Träning i att vidmakthålla, skifta och fördela koncentration i olika aktiviteter. ICF b140"
Behandling/Åtgärdande,Behandling relaterad till psykiska funktioner,QA007,Minnesträning,"Träning av minnesfunktion genom att använda olika minnestekniker t.ex. visualisering, minnesspel, associeringsteknik. ICF b144"
